species,n,precip_maxquant,precip_minquant,precip_mean,precip_median,nitro_maxquant,nitro_minquant,nitro_mean,nitro_median,temp_maxquant,temp_minquant,temp_mean,temp_median,max_lat,min_lat,mean_lat,median_lat,median_long,quant95,quant005,num_biome,biome,precip_range,temp_range,nitro_range,genus,fixer,woody,annual,uses_num_uses,Domatia,EFN
Abrus_fruticulosus,407,2149,702.8,1220.7567567567567,1070,327.5999999999999,81,166.86240786240785,143,27.49374980926514,20.81875019073486,25.530640871577532,26.595832824707,24.983333,-22.978889,3.3322668176904178,6.954245,2.158783,10.8999021,-15.3586479,5,7,1446.2,6.674999618530279,246.5999999999999,Abrus,1,1,0,1,0,0
Abrus_precatorius,3016,2325.75,634.5,1293.3110079575595,1240,1341,60.75,311.64224137931086,159,27.701042175293,20.403125286102327,24.96273070953253,25.86250019073485,33.89722,-36.128742,0.2585630746021236,-4.07472,42.8717235,28.0856425,-25.5834125,10,7,1691.25,7.297916889190674,1280.25,Abrus,1,1,0,7,0,0
Acacia_acinacea,5005,830.8000000000002,399,573.399200799201,560,261,93,173.09150849150836,172,16.099166870117163,12.7833337783813,14.58750000038109,14.6958332061768,-30.862822,-38.5402,-36.40736806553446,-36.596,143.925808,-34.348456000000006,-37.7293432,5,4,431.8000000000002,3.315833091735863,168,Acacia,1,1,0,0,0,0
Acacia_acradenia,627,740.6999999999999,311.3,502.6299840510368,491,106,35,56.76395534290272,51,27.7195831298828,22.339999580383306,25.442078667964662,25.7958335876465,-14.20477,-30.52,-19.998624381180225,-20.130312,130.331682,-16.7105657,-24.618692,3,7,429.3999999999999,5.379583549499493,71,Acacia,1,1,0,0,0,1
Acacia_acuminata,1002,499.94999999999993,259.05,354.0508982035928,330,108,45,67.28243512974052,61,20.470416164398163,15.966875505447415,18.13111279919714,18.1041660308838,-22.594918,-34.748889,-31.134749086826346,-31.2487055,117.58192149999999,-28.3519171,-33.598335000000006,2,12,240.89999999999992,4.503540658950747,63,Acacia,1,1,0,2,0,0
Acacia_adsurgens,808,552.5999999999999,268.7,383.7834158415842,372,65,33,43.878712871287135,40.5,26.1083335876465,22.200416183471717,24.53313224386461,24.6916675567627,-14.3667,-29.2,-21.281976623762375,-20.9643835,134.164718,-18.701966,-24.72081985,5,13,283.8999999999999,3.907917404174782,32,Acacia,1,1,0,0,0,0
Acacia_adunca,144,1134.8999999999996,641,845.5486111111111,839,346.79999999999984,133.15,236.33333333333331,222.5,16.88666648864745,13.375833606719981,14.829803221755558,14.7437500953674,-28,-35.83,-29.864517590277778,-28.8701645,151.91236550000002,-28.581744,-34.4978152,4,4,493.89999999999964,3.5108328819274686,213.64999999999984,Acacia,1,1,0,1,0,1
Acacia_alata,355,1122,409.4,775.6338028169015,861,225.90000000000003,62,144.94366197183098,147,20.4337493896484,14.9541664123535,17.461220666052593,17.1124992370605,-23.1,-35.02,-31.90123243943662,-32.161913,116.03,-28.499333399999998,-34.781715,2,12,712.6,5.479582977294902,163.90000000000003,Acacia,1,1,0,0,0,0
Acacia_alleniana,334,1495,547.25,985.9790419161678,894.5,190,45,93.13173652694611,74.5,27.855624675750743,25.644375324249257,26.908458007309964,26.9874992370605,-11.530567,-19.79858,-15.393754601796408,-15.70895,135.587675,-12.42831645,-18.63635675,2,7,947.75,2.211249351501486,145,Acacia,1,1,0,0,0,0
Acacia_alpina,227,1764.4999999999998,893.9,1400.726872246696,1485,509.4,217.89999999999998,382.431718061674,399,10.83125038146974,5.855000114440916,7.7611784178780034,7.5625,-35.316667,-37.7152,-36.563129819383256,-36.710927,147.1544,-35.741091499999996,-37.56465,3,10,870.5999999999998,4.976250267028824,291.5,Acacia,1,1,0,0,0,0
Acacia_amoena,241,1020,666,789.2116182572614,748,290,162,217.21161825726142,204,16.2541656494141,10.6541662216187,13.595677720065925,13.6499996185303,-28.903295,-37.8167,-34.92873185892116,-34.65431,149.48,-30.969908,-37.2316,3,4,354,5.599999427795401,128,Acacia,1,1,0,0,0,1
Acacia_ampliceps,254,863,275.3,523.3346456692913,480,113.35,41,60.74015748031496,53,27.6499996185303,25.124583339691192,26.590977751363916,26.7916669845581,-14.84,-26.573683,-19.070656763779528,-19.148603,123.61152799999999,-14.9303562,-22.99004145,2,7,587.7,2.5254162788391064,72.35,Acacia,1,1,0,0,0,0
Acacia_anceps,144,487.7,258.15,356.33333333333337,350,157.85,70.14999999999999,102.66666666666667,93.5,17.711874771118183,15.63145837783812,16.840567151705425,16.89166641235355,-31.45,-35.159722,-33.28343278472222,-33.3333335,135.15,-31.75102,-35.0927047,2,12,229.55,2.0804163932800623,87.7,Acacia,1,1,0,0,0,0
Acacia_ancistrocarpa,992,649.4499999999999,266,419.16935483870964,374,71,35,48.41129032258064,45,27.5541667938232,23.427291393279987,25.449567387180945,25.5416660308838,-12.8667,-32.551133,-20.446890949596774,-20.720793999999998,131.18435499999998,-17.589518050000002,-23.194549,3,13,383.44999999999993,4.126875400543213,36,Acacia,1,1,0,0,0,0
Acacia_aneura,5523,418,164,268.472388194821,255,92,29,51.39398877421695,45,23.6458339691162,17.7916660308838,20.47151229702302,20.3708324432373,-16.22,-35.8,-28.343922331341663,-29.144128,134.62022,-22.9803333,-32.120311,5,13,254,5.854167938232401,63,Acacia,1,1,0,1,0,1
Acacia_argyrodendron,70,684.95,471.4,586.2142857142857,595,82.19999999999999,33,51.98571428571428,49,24.01229200363159,22.761249732971223,23.41976193019322,23.466666221618652,-19.916667,-26.67,-21.544851957142857,-21.4061555,146.3,-20.55198,-23.0748748,1,7,213.55000000000007,1.251042270660367,49.19999999999999,Acacia,1,1,0,0,0,0
