species,n,precip_maxquant,precip_minquant,precip_mean,precip_median,nitro_maxquant,nitro_minquant,nitro_mean,nitro_median,temp_maxquant,temp_minquant,temp_mean,temp_median,max_lat,min_lat,mean_lat,median_lat,median_long,quant95,quant005,num_biome,biome,precip_range,temp_range,nitro_range,genus,fixer,woody,annual,uses_num_uses,Domatia,EFN
Abrus_fruticulosus,409,2147.9999999999995,704.4000000000001,1220.1369193154032,1070,315.59999999999945,81,167.13447432762837,143,27.491666412353517,20.820833587646483,25.527302366597144,26.595832824707,24.983333,-22.978889,3.3254333980440096,6.95157,2.159188,10.8996098,-15.328197199999998,5,7,1443.5999999999997,6.670832824707034,234.59999999999943,Abrus,1,1,0,1,0,0
Abrus_precatorius,3013,2326.2000000000003,637.4,1293.7278460006637,1239,1335.0000000000005,61,310.86425489545377,159,27.7016670227051,20.40250015258792,24.96490208540017,25.8791675567627,33.89722,-36.128742,0.246215233654164,-4.15694,43.412247,28.0887648,-25.5856088,10,7,1688.8000000000002,7.29916687011718,1274.0000000000005,Abrus,1,1,0,7,0,0
Acacia_acinacea,4997,830,399,572.9119471683013,560,260.1999999999998,92,172.93516109665788,171,16.1000003814697,12.78250045776364,14.58778266952542,14.6958332061768,-30.862822,-38.5402,-36.40563922013208,-36.5925,143.8997,-34.3499502,-37.728424,5,4,431,3.3174999237060625,168.19999999999982,Acacia,1,1,0,0,0,0
Acacia_acradenia,627,740.6999999999999,311.3,502.6299840510368,491,105.69999999999992,35,56.63476874003191,51,27.7195831298828,22.339999580383303,25.442078667964665,25.7958335876465,-14.20477,-30.52,-19.99866873046252,-20.130312,130.3303,-16.7105525,-24.618692,3,7,429.3999999999999,5.379583549499493,70.69999999999993,Acacia,1,1,0,0,0,1
Acacia_acuminata,1003,499.9,259.1,354.0179461615154,330,108,45,67.27218344965105,61,20.469999504089326,15.967083835601832,18.131094241308663,18.1041660308838,-22.594918,-34.748889,-31.134822666999003,-31.248704,117.58051,-28.3532782,-33.59667,2,12,240.79999999999995,4.5029156684874945,63,Acacia,1,1,0,2,0,0
Acacia_adsurgens,808,552.5999999999999,268.7,383.7834158415842,372,65,33,43.86757425742573,40,26.1083335876465,22.200416183471717,24.53313224386461,24.6916675567627,-14.3667,-29.2,-21.281993318069308,-20.9643835,134.165417,-18.701966,-24.72081985,5,13,283.8999999999999,3.907917404174782,32,Acacia,1,1,0,0,0,0
Acacia_adunca,145,1132.1999999999991,642,845.5655172413793,839,338.1999999999997,133.2,235.66896551724136,223,16.8849998474121,13.38166694641114,14.830660898932097,14.7458333969116,-28,-35.83,-29.857976648275866,-28.870329,151.912483,-28.580348799999996,-34.4901006,4,4,490.19999999999914,3.5033329010009595,204.99999999999972,Acacia,1,1,0,1,0,1
Acacia_alata,356,1121.5,409.5,775.4747191011236,860.5,225.75,62,145.01123595505615,147,20.43229103088375,14.9541664123535,17.464138585529973,17.118749618530252,-23.1,-35.02,-31.900222882022472,-32.1581065,116.0258335,-28.4994445,-34.78158875,2,12,712,5.47812461853025,163.75,Acacia,1,1,0,0,0,0
Acacia_alleniana,334,1495,547.25,985.9790419161678,894.5,187.39999999999984,45,93.25748502994011,75.5,27.855624675750743,25.644375324249257,26.908458007309964,26.9874992370605,-11.530567,-19.79858,-15.393753508982035,-15.70895,135.587675,-12.42831645,-18.63635675,2,7,947.75,2.211249351501486,142.39999999999986,Acacia,1,1,0,0,0,0
Acacia_alpina,227,1764.4999999999998,893.9,1400.726872246696,1485,509.4,220,383.4405286343612,405,10.83125038146974,5.855000114440916,7.7611784178780034,7.5625,-35.316667,-37.7152,-36.56319388546255,-36.710927,147.1544,-35.741091499999996,-37.56465,3,10,870.5999999999998,4.976250267028824,289.4,Acacia,1,1,0,0,0,0
Acacia_amoena,241,1020,666,789.2116182572614,748,287,162,217.1452282157676,205,16.2541656494141,10.6541662216187,13.595677720065924,13.6499996185303,-28.903295,-37.8167,-34.92874673858921,-34.65431,149.48,-30.969908,-37.2316,3,4,354,5.599999427795401,125,Acacia,1,1,0,0,0,1
