"","species","intrdcd","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","quant95","quant005","precip_range","temp_range","nitro_range","Phy","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count"
"1","Abrus_fruticulosus",1,48,2905.95,1370.7,1960.08333333333,1927.5,291,113,176.041666666667,157,26.9762499809265,21.9179166793823,24.4443576733271,24.7562494277954,14.850833,-22.978889,-9.381275775,-9.350972,9.31416699999999,-22.91912475,1535.25,5.05833330154416,178,"Abrus fruticulosus",0,1,0,0,1.51e+12,16.77009689,"Abreae","Abrus","Papilionoideae","Abreae","1",16.77009689,1,0,1,"Abrus fruticulosus","Abrus fruticulosus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,523
"2","Abrus_precatorius",1,761,2828,1031,1518.21024967148,1324,1975,139,786.055190538765,605,26.9916667938232,21.4208335876465,23.566277899974,23.2749996185303,29.4489,-28.460775,15.3416956201051,26.421021,28.642518,-21.10775,1797,5.5708332061767,1836,"Abrus precatorius",1,1,4,1.48e+11,5.34e+13,9.00301812,"Abreae","Abrus","Papilionoideae","Abreae","1",9.00301812,1,0,7,"Abrus precatorius","Abrus precatorius","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,5,5,0,"Y","N","0",NA,0,528
"3","Acacia_auriculiformis",1,3086,1538.75,1044.25,1298.82047958522,1256,880,82,228.706092028516,145,27.4072914123535,23.3510417938232,26.0060258514296,26.1666660308838,32.653252,-21.33963,9.39055301717434,7.73534,26.28969425,6.585265,494.5,4.05624961853027,798,"Acacia auriculiformis",1,1,23,1.12e+13,4.09e+12,-5.85860106,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",5.85860106,1,0,4,"Acacia auriculiformis","Acacia auriculiformis","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,22,19,3,"Y","Y","1","Acacia auriculiformis",0,9635
"4","Acacia_baileyana",1,2861,1121,439,720.921006641035,667,331,121,226.316322963999,228,17.1375007629395,12.0708332061768,14.0203104987506,13.8874998092651,42.8988169,-45.857537,-29.5880769712688,-37.3423,34.179674,-38.3213,682,5.0666675567627,210,"Acacia baileyana",1,1,13,1.07e+13,6.27e+12,-26.80596132,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",26.80596132,1,0,2,"Acacia baileyana","Acacia baileyana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"1","Acacia baileyana",0,9648
"5","Acacia_confusa",1,233,2431.4,905,1705.45064377682,1717,373.6,124,219.248927038627,216,24.2308338165283,15.7899999618531,21.2643776226453,22.1416664123535,35.07,18.48,23.2398228969957,22.399947,29.964,19.6278182,1526.4,8.44083385467524,249.6,"Acacia confusa",1,1,13,3.58e+12,1.25e+12,21.89229771,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",21.89229771,1,0,3,"Acacia confusa","Acacia confusa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,3,1,0,"Y","N","1","Acacia confusa",0,10104
"6","Acacia_cyclops",1,699,734.1,278.9,489.831187410587,481,283,108,171.324749642346,166,18.4624996185303,15.861250114441,17.3004112803032,17.3666667938232,40.55,-34.76533,-21.4989722131617,-33.834454,34.2337608,-34.6521176,455.2,2.60124950408935,175,"Acacia cyclops",1,1,5,5.1e+12,3.51e+12,-26.80243548,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",26.80243548,1,0,4,"Acacia cyclops","Acacia cyclops","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,1,1,0,"Y","N","1","Acacia cyclops",0,10784
"7","Acacia_dealbata",1,8417,1502,504,919.781038374718,839,398,132,237.486871807057,215,16.5125007629395,11.2491666793823,13.803949837675,13.8333330154419,50.837437,-46.560007,34.3916438543186,41.766013,47.7179162,-33.3681394,998,5.26333408355718,266,"Acacia dealbata",1,1,28,1.45e+13,4.61e+12,-35.13929898,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",35.13929898,1,0,6,"Acacia dealbata","Acacia dealbata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,7,4,3,"Y","Y","1","Acacia dealbata",0,9724
"8","Acacia_decurrens",1,998,1557.75,556,922.167334669339,824.5,435,122.85,250.109218436874,245,17.8679167747497,11.9368750095367,14.3144497503499,13.9458332061768,40.7656,-43.660972,-27.0813140529058,-37.1294,6.00091655,-38.32554995,1001.75,5.93104176521298,312.15,"Acacia decurrens",1,1,19,1e+13,6.4e+12,-17.04729784,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",17.04729784,1,0,4,"Acacia decurrens","Acacia decurrens","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,8,5,3,"Y","Y","1","Acacia decurrens",0,9814
"9","Acacia_elata",1,256,1331.5,580.5,926.51953125,914.5,299,157,235.546875,229,16.981249332428,12.0312502384186,14.2165852710605,14.0333333015442,37.648081,-43.666611,-36.3635365316406,-37.7311665,-33.680445,-38.403575,751,4.94999909400942,142,"Acacia elata",1,1,11,9.68e+12,3.56e+12,-29.35867544,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",29.35867544,1,0,1,"Acacia elata","Acacia elata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,10656
"10","Acacia_iteaphylla",1,438,972.15,426.4,682.27397260274,664.5,280,100,208.874429223744,224,18.426458644867,12.3083333969116,14.4728595633485,14.2020831108094,-27.9,-38.5112,-36.5429811255708,-37.49485,-31.86965215,-38.082925,545.75,6.11812524795535,180,"Acacia iteaphylla",0,1,0,0,4.54e+12,-28.33581319,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",28.33581319,1,0,1,"Acacia iteaphylla","Acacia iteaphylla","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"1","Acacia iteaphylla",0,9628
