"Phy","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count"
"Abarema auriculata",0,1,0,0,3.66e+12,-3.56153462,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,3.56153462,1,0,0,"Abarema auriculata","Abarema auriculata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,731
"Abarema barbouriana",0,1,0,0,4.22e+12,-0.21255016,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,0.21255016,1,0,0,"Abarema barbouriana","Abarema barbouriana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,87
"Abarema brachystachya",0,1,0,0,4.9e+11,-23.22507591,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,23.22507591,1,0,0,"Abarema brachystachya","Abarema brachystachya","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,116
"Abarema campestris",0,0,0,0,0,NA,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,NA,1,0,0,"Abarema campestris","Abarema campestris","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4915
"Abarema cochleata",0,1,0,0,3.13e+12,-4.22237921,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,4.22237921,1,0,0,"Abarema cochleata","Abarema cochleata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,128
"Abarema cochliocarpos",0,1,0,0,6.04e+11,-17.33272236,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,17.33272236,1,0,0,"Abarema cochliocarpos","Abarema cochliocarpos","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,87
"Abarema filamentosa",0,0,0,0,0,NA,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,NA,1,0,0,"Abarema filamentosa","Abarema filamentosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,215
"Abarema floribunda",0,1,0,0,4.38e+12,-2.89143378,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,2.89143378,1,0,0,"Abarema floribunda","Abarema floribunda","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,872
"Abarema jupunba",0,1,0,0,6.4e+12,-7.07229421,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,7.07229421,1,0,0,"Abarema jupunba","Abarema jupunba","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,90
"Abarema macradenia",0,1,0,0,2.46e+12,11.16642911,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,11.16642911,1,0,0,"Abarema macradenia","Abarema macradenia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,102
