"","num_in_polygon","species","num_total","percent_cover"
"testoverlay_Acacia_colletioides",1821,"Acacia_colletioides",1806,100.830564784053
"testoverlay_Acacia_hakeoides",2668,"Acacia_hakeoides",2667,100.037495313086
"testoverlay_Acacia_wilhelmiana",1164,"Acacia_wilhelmiana",1161,100.258397932817
"testoverlay_Albizia_forbesii",93,"Albizia_forbesii",92,101.086956521739
"testoverlay_Albizia_subdimidiata",128,"Albizia_subdimidiata",127,100.787401574803
"testoverlay_Anthyllis_montana",5959,"Anthyllis_montana",5926,100.55686803915
"testoverlay_Argyrolobium_stipulaceum",74,"Argyrolobium_stipulaceum",71,104.225352112676
"testoverlay_Argyrolobium_tuberosum",293,"Argyrolobium_tuberosum",289,101.384083044983
"testoverlay_Astragalus_beckwithii",539,"Astragalus_beckwithii",537,100.372439478585
"testoverlay_Astragalus_gracilis",670,"Astragalus_gracilis",669,100.149476831091
"testoverlay_Astragalus_nothoxys",220,"Astragalus_nothoxys",219,100.456621004566
"testoverlay_Astragalus_palmeri",429,"Astragalus_palmeri",428,100.233644859813
"testoverlay_Astragalus_purshii",3018,"Astragalus_purshii",3013,100.165947560571
"testoverlay_Astragalus_sempervirens",1987,"Astragalus_sempervirens",1983,100.201714573878
"testoverlay_Baikiaea_plurijuga",172,"Baikiaea_plurijuga",171,100.584795321637
"testoverlay_Calliandra_foliolosa",271,"Calliandra_foliolosa",269,100.743494423792
"testoverlay_Centrosema_vexillatum",47,"Centrosema_vexillatum",46,102.173913043478
"testoverlay_Cryptosepalum_maraviense",143,"Cryptosepalum_maraviense",142,100.704225352113
"testoverlay_Dalbergia_miscolobium",492,"Dalbergia_miscolobium",490,100.408163265306
"testoverlay_Dalea_aurea",935,"Dalea_aurea",933,100.21436227224
"testoverlay_Dalea_candida",3598,"Dalea_candida",3596,100.055617352614
"testoverlay_Dalea_formosa",1765,"Dalea_formosa",1759,100.341102899375
"testoverlay_Dalea_mollissima",1068,"Dalea_mollissima",1066,100.187617260788
"testoverlay_Decorsea_schlechteri",77,"Decorsea_schlechteri",76,101.315789473684
"testoverlay_Desmodium_grahamii",455,"Desmodium_grahamii",453,100.441501103753
"testoverlay_Desmodium_nicaraguense",189,"Desmodium_nicaraguense",187,101.069518716578
"testoverlay_Desmodium_retinens",123,"Desmodium_retinens",121,101.652892561983
"testoverlay_Dichilus_strictus",65,"Dichilus_strictus",64,101.5625
"testoverlay_Diptychandra_aurantiaca",267,"Diptychandra_aurantiaca",266,100.375939849624
