"","num_in_polygon","species","num_total","percent_cover"
"testoverlay_Acacia_redolens",70,"Acacia_redolens",438,15.9817351598174
"testoverlay_Astragalus_oxyglottis",22,"Astragalus_oxyglottis",98,22.4489795918367
"testoverlay_Astragalus_stevenianus",22,"Astragalus_stevenianus",191,11.5183246073298
"testoverlay_Calicotome_infesta",20,"Calicotome_infesta",162,12.3456790123457
"testoverlay_Campsiandra_comosa",22,"Campsiandra_comosa",145,15.1724137931034
"testoverlay_Caragana_polourensis",1,"Caragana_polourensis",22,4.54545454545455
"testoverlay_Carmichaelia_exsul",0,"Carmichaelia_exsul",4,0
"testoverlay_Chloroleucon_tortum",40,"Chloroleucon_tortum",87,45.9770114942529
"testoverlay_Clianthus_puniceus",21,"Clianthus_puniceus",63,33.3333333333333
"testoverlay_Colvillea_racemosa",15,"Colvillea_racemosa",33,45.4545454545455
"testoverlay_Copaifera_officinalis",22,"Copaifera_officinalis",48,45.8333333333333
"testoverlay_Crotalaria_angulata",17,"Crotalaria_angulata",58,29.3103448275862
"testoverlay_Dialium_zenkeri",20,"Dialium_zenkeri",66,30.3030303030303
"testoverlay_Erythrina_corallodendron",10,"Erythrina_corallodendron",42,23.8095238095238
"testoverlay_Hedysarum_polybotrys",33,"Hedysarum_polybotrys",79,41.7721518987342
"testoverlay_Inga_cordistipula",8,"Inga_cordistipula",22,36.3636363636364
"testoverlay_Lathyrus_littoralis",83,"Lathyrus_littoralis",205,40.4878048780488
"testoverlay_Lathyrus_odoratus",555,"Lathyrus_odoratus",1391,39.8993529834651
"testoverlay_Lespedeza_tomentosa",238,"Lespedeza_tomentosa",489,48.6707566462168
"testoverlay_Lespedeza_violacea",549,"Lespedeza_violacea",1236,44.4174757281553
"testoverlay_Lotus_conjugatus",9,"Lotus_conjugatus",50,18
"testoverlay_Lotus_purpureus",11,"Lotus_purpureus",30,36.6666666666667
"testoverlay_Melilotus_infestus",43,"Melilotus_infestus",102,42.156862745098
"testoverlay_Ormosia_costulata",31,"Ormosia_costulata",88,35.2272727272727
"testoverlay_Ormosia_monosperma",11,"Ormosia_monosperma",23,47.8260869565217
"testoverlay_Oxyrhynchus_volubilis",16,"Oxyrhynchus_volubilis",43,37.2093023255814
"testoverlay_Oxytropis_splendens",362,"Oxytropis_splendens",976,37.0901639344262
"testoverlay_Parkia_timoriana",26,"Parkia_timoriana",677,3.84047267355982
"testoverlay_Platylobium_formosum",1797,"Platylobium_formosum",5328,33.7274774774775
"testoverlay_Rhynchosia_aurea",12,"Rhynchosia_aurea",25,48
"testoverlay_Rhynchosia_rothii",34,"Rhynchosia_rothii",165,20.6060606060606
"testoverlay_Robinia_viscosa",171,"Robinia_viscosa",385,44.4155844155844
"testoverlay_Schleinitzia_insularum",5,"Schleinitzia_insularum",12,41.6666666666667
"testoverlay_Senna_floribunda",68,"Senna_floribunda",250,27.2
"testoverlay_Senna_marilandica",491,"Senna_marilandica",1458,33.676268861454
"testoverlay_Sophora_howinsula",0,"Sophora_howinsula",11,0
"testoverlay_Strongylodon_macrobotrys",32,"Strongylodon_macrobotrys",93,34.4086021505376
"testoverlay_Stylosanthes_calcicola",8,"Stylosanthes_calcicola",35,22.8571428571429
"testoverlay_Taverniera_cuneifolia",16,"Taverniera_cuneifolia",33,48.4848484848485
"testoverlay_Tephrosia_obovata",14,"Tephrosia_obovata",35,40
"testoverlay_Trifolium_alexandrinum",771,"Trifolium_alexandrinum",1745,44.1833810888252
"testoverlay_Trifolium_vesiculosum",327,"Trifolium_vesiculosum",1154,28.3362218370884
"testoverlay_Trigonella_caerulea",84,"Trigonella_caerulea",473,17.7589852008457
"testoverlay_Vicia_pubescens",544,"Vicia_pubescens",4185,12.9988052568698
"testoverlay_Vicia_serratifolia",110,"Vicia_serratifolia",556,19.7841726618705
"testoverlay_Vicia_sicula",17,"Vicia_sicula",35,48.5714285714286
