"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 5.390125","0.134304","40.13366",0
"EFN1"," 0.289045","0.092516"," 3.12426",0.0018
"abs_med_lat","-0.006385","0.004266","-1.49671",0.1346
"hemisphere1","-0.329462","0.106654","-3.08908",0.002
"fixer1","-0.060076","0.097333","-0.61722",0.5371
"woody","-0.037138","0.034047","-1.09078",0.2755
"uses_num_uses"," 0.067444","0.006878"," 9.80529",0
"annual","-0.335408","0.038464","-8.72012",0
"EFN1:abs_med_lat","-0.003962","0.004117","-0.96216",0.3361
"EFN1:hemisphere1","-0.284688","0.135435","-2.10202",0.0357
"abs_med_lat:hemisphere1","-0.002046","0.006387","-0.32041",0.7487
"abs_med_lat:fixer1"," 0.010597","0.004396"," 2.41053",0.016
"hemisphere1:fixer1"," 0.007461","0.115304"," 0.06471",0.9484
"EFN1:abs_med_lat:hemisphere1"," 0.015297","0.005899"," 2.59294",0.0096
"abs_med_lat:hemisphere1:fixer1","-0.010311","0.006624","-1.55658",0.1197
