,Value,Std.Error,t.value,p.value
(Intercept),5.941988,0.30035,19.78353,0
EFN1,0.238197,0.227421,1.04738,0.2959
abs_med_lat,-0.014717,0.011041,-1.33297,0.1837
hemisphere1,-0.595602,0.392386,-1.5179,0.1302
fixer1,-0.079264,0.293161,-0.27038,0.7871
woody,-0.05526,0.100198,-0.55151,0.5817
uses_num_uses,0.003765,0.015711,0.23965,0.8108
annual,-0.250635,0.098769,-2.53759,0.0117
EFN1:abs_med_lat,-0.006478,0.007074,-0.91581,0.3606
EFN1:hemisphere1,0.027437,0.377246,0.07273,0.9421
abs_med_lat:hemisphere1,0.020341,0.018036,1.12783,0.2604
abs_med_lat:fixer1,0.0154,0.011482,1.34121,0.181
hemisphere1:fixer1,0.203865,0.415206,0.491,0.6238
EFN1:abs_med_lat:hemisphere1,0.001655,0.013094,0.12636,0.8995
abs_med_lat:hemisphere1:fixer1,-0.018842,0.018409,-1.02353,0.307
