"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 5.793986","0.125003"," 46.3509",0
"EFN1"," 0.248758","0.073525","  3.3833",0.0007
"abs_med_lat","-0.005794","0.003476"," -1.6670",0.0956
"hemisphere1","-0.186760","0.085717"," -2.1788",0.0294
"fixer1","-0.113218","0.079925"," -1.4166",0.1567
"woody"," 0.030053","0.027644","  1.0871",0.2771
"uses_num_uses"," 0.038820","0.005483","  7.0797",0
"annual","-0.306846","0.030612","-10.0237",0
"EFN1:abs_med_lat","-0.003921","0.003272"," -1.1984",0.2309
"EFN1:hemisphere1","-0.295641","0.107406"," -2.7526",0.006
"abs_med_lat:hemisphere1","-0.004912","0.005150"," -0.9538",0.3403
"abs_med_lat:fixer1"," 0.011620","0.003574","  3.2516",0.0012
"hemisphere1:fixer1","-0.074619","0.092507"," -0.8066",0.42
"EFN1:abs_med_lat:hemisphere1"," 0.013402","0.004683","  2.8619",0.0042
"abs_med_lat:hemisphere1:fixer1","-0.003437","0.005342"," -0.6434",0.5201
