,Value,Std.Error,t.value,p.value
(Intercept),4.629401,0.171492,26.9949,0
EFN1,0.143394,0.072133,1.9879,0.0469
abs_med_lat,-0.005184,0.003619,-1.4325,0.1521
hemisphere1,-0.009348,0.086946,-0.1075,0.9144
fixer1,-0.216648,0.083743,-2.587,0.0097
woody,0.142866,0.028055,5.0923,0
uses_num_uses,-0.023406,0.005407,-4.3288,0
annual,-0.249188,0.030014,-8.3023,0
EFN1:abs_med_lat,-0.005096,0.003206,-1.5897,0.112
EFN1:hemisphere1,-0.286837,0.105212,-2.7263,0.0064
abs_med_lat:hemisphere1,-0.004969,0.005257,-0.9453,0.3446
abs_med_lat:fixer1,0.014451,0.003701,3.9047,0.0001
hemisphere1:fixer1,-0.131634,0.093311,-1.4107,0.1585
EFN1:abs_med_lat:hemisphere1,0.013299,0.004582,2.9022,0.0037
abs_med_lat:hemisphere1:fixer1,0.004032,0.005444,0.7407,0.4589
