"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 5.616570","0.251969","22.2907",0
"EFN"," 0.138400","0.166195"," 0.8328",0.4057
"abs_med_lat","-0.005626","0.008900","-0.6322",0.5278
"hemisphere1"," 0.210972","0.383726"," 0.5498",0.5829
"fixer","-0.140031","0.237070","-0.5907",0.5552
"woody"," 0.034884","0.072234"," 0.4829",0.6295
"uses_num_uses"," 0.013830","0.010894"," 1.2696",0.2053
"annual","-0.230483","0.069202","-3.3306",0.001
"EFN:abs_med_lat"," 0.002609","0.005413"," 0.4820",0.6302
"EFN:hemisphere1"," 0.172695","0.268128"," 0.6441",0.5201
"abs_med_lat:hemisphere1","-0.037311","0.019103","-1.9532",0.0518
"abs_med_lat:fixer"," 0.016694","0.009250"," 1.8048",0.0722
"hemisphere1:fixer","-0.178521","0.401204","-0.4450",0.6567
"EFN:abs_med_lat:hemisphere1","-0.005079","0.010202","-0.4978",0.619
"abs_med_lat:hemisphere1:fixer"," 0.010800","0.019678"," 0.5489",0.5836
