"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 5.709640","0.256471","22.262290",0
"EFN1"," 0.210296","0.159689"," 1.316912",0.189
"abs_med_lat","-0.003704","0.009603","-0.385718",0.7
"hemisphere1","-0.015181","0.305903","-0.049627",0.9605
"fixer1"," 0.011835","0.240110"," 0.049289",0.9607
"woody","-0.030135","0.076182","-0.395571",0.6927
"uses_num_uses"," 0.013064","0.011643"," 1.122114",0.2628
"annual","-0.220304","0.072946","-3.020078",0.0028
"EFN1:abs_med_lat"," 0.001091","0.005203"," 0.209751",0.834
"EFN1:hemisphere1","-0.135374","0.298800","-0.453059",0.6509
"abs_med_lat:hemisphere1","-0.014959","0.015966","-0.936949",0.3496
"abs_med_lat:fixer1"," 0.010040","0.009844"," 1.019901",0.3087
"hemisphere1:fixer1"," 0.107552","0.339696"," 0.316613",0.7518
"EFN1:abs_med_lat:hemisphere1","-0.002000","0.010973","-0.182308",0.8555
"abs_med_lat:hemisphere1:fixer1","-0.000145","0.016879","-0.008593",0.9932
