"","Value","Std.Error","t.value","p.value"
"(Intercept)",7.11540171763997,0.143807245518086,49.4787428269398,0
"EFN1",0.251414398581377,0.0871569693660657,2.88461611744918,0.004
"abs_med_lat",-0.028377091781441,0.00410006751329463,-6.92112793007119,0
"hemisphere1",-0.0608125937361108,0.101373204455081,-0.599888245251802,0.5486
"fixer1",0.0262117132172152,0.0941693377861269,0.278346581099954,0.7808
"woody",0.0876649467157736,0.0326475313349507,2.68519373842898,0.0073
"uses_num_uses",0.0814532626445039,0.00649636251770487,12.538287760653,0
"annual",-0.0999551578738889,0.0362826016672609,-2.75490602329331,0.0059
"EFN1:abs_med_lat",-0.00610287161856127,0.00387882616356061,-1.57338105942832,0.1158
"EFN1:hemisphere1",-0.192125163142652,0.127361800236039,-1.50849911658431,0.1316
"abs_med_lat:hemisphere1",-0.00170721166584053,0.0060870467955332,-0.280466328449013,0.7791
"abs_med_lat:fixer1",0.0117974223598507,0.0042177594475555,2.79708278922548,0.0052
"hemisphere1:fixer1",-0.0844029583582593,0.109445030595239,-0.771190413116218,0.4407
"EFN1:abs_med_lat:hemisphere1",0.0126792604744789,0.00555220625885206,2.28364363342302,0.0225
"abs_med_lat:hemisphere1:fixer1",-0.00601993886539634,0.00631399295662304,-0.953428188272169,0.3405
