"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 7.543942","0.294607","25.6068",0
"EFN1","-0.098271","0.210531","-0.4668",0.641
"abs_med_lat","-0.031363","0.010403","-3.0148",0.0028
"hemisphere1","-0.327237","0.365922","-0.8943",0.372
"fixer1","-0.084643","0.284676","-0.2973",0.7664
"woody"," 0.094135","0.093672"," 1.0049",0.3158
"uses_num_uses"," 0.033701","0.014512"," 2.3223",0.021
"annual","-0.028795","0.090377","-0.3186",0.7503
"EFN1:abs_med_lat"," 0.003696","0.006521"," 0.5668",0.5713
"EFN1:hemisphere1"," 0.191752","0.347514"," 0.5518",0.5816
"abs_med_lat:hemisphere1"," 0.013262","0.016944"," 0.7827",0.4345
"abs_med_lat:fixer1"," 0.006290","0.010823"," 0.5812",0.5616
"hemisphere1:fixer1"," 0.098108","0.386680"," 0.2537",0.7999
"EFN1:abs_med_lat:hemisphere1","-0.002653","0.012077","-0.2196",0.8263
"abs_med_lat:hemisphere1:fixer1","-0.007841","0.017279","-0.4538",0.6504
