"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 7.85047434","0.152736","51.399015",0
"EFN1"," 0.15386170","0.069552"," 2.212192",0.027
"abs_med_lat","-0.02959406","0.003437","-8.610995",0
"hemisphere1"," 0.01921200","0.083063"," 0.231294",0.8171
"fixer1","-0.12574599","0.079517","-1.581379",0.1139
"woody"," 0.09293722","0.026865"," 3.459385",0.0006
"uses_num_uses"," 0.04112707","0.005208"," 7.896546",0
"annual","-0.17820538","0.028950","-6.155643",0
"EFN1:abs_med_lat","-0.00345031","0.003093","-1.115551",0.2647
"EFN1:hemisphere1","-0.16999688","0.101446","-1.675739",0.0939
"abs_med_lat:hemisphere1","-0.00638196","0.005015","-1.272601",0.2033
"abs_med_lat:fixer1"," 0.01610145","0.003520"," 4.574659",0
"hemisphere1:fixer1","-0.10647717","0.089281","-1.192610",0.2331
"EFN1:abs_med_lat:hemisphere1"," 0.00791946","0.004421"," 1.791298",0.0734
"abs_med_lat:hemisphere1:fixer1","-0.00001083","0.005196","-0.002085",0.9983
