"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 7.1122996","0.234329","30.3517",0
"EFN1"," 0.0311933","0.104392"," 0.2988",0.7651
"abs_med_lat","-0.0298900","0.005180","-5.7707",0
"hemisphere1"," 0.1738518","0.124979"," 1.3910",0.1643
"fixer1","-0.3716655","0.119857","-3.1009",0.002
"woody"," 0.1023127","0.040402"," 2.5324",0.0114
"uses_num_uses","-0.0239538","0.007820","-3.0633",0.0022
"annual","-0.3291086","0.043448","-7.5748",0
"EFN1:abs_med_lat"," 0.0009813","0.004642"," 0.2114",0.8326
"EFN1:hemisphere1","-0.0866811","0.152260","-0.5693",0.5692
"abs_med_lat:hemisphere1","-0.0194558","0.007549","-2.5774",0.01
"abs_med_lat:fixer1"," 0.0217080","0.005303"," 4.0938",0
"hemisphere1:fixer1","-0.1231400","0.134279","-0.9170",0.3592
"EFN1:abs_med_lat:hemisphere1"," 0.0015503","0.006635"," 0.2337",0.8153
"abs_med_lat:hemisphere1:fixer1"," 0.0117874","0.007820"," 1.5073",0.1319
