,Value,Std.Error,t.value,p.value
(Intercept),7.544825,0.239924,31.4468,0
EFN,0.095921,0.150259,0.6384,0.5238
abs_med_lat,-0.028741,0.008216,-3.4983,0.0005
hemisphere1,-0.060253,0.349309,-0.1725,0.8632
fixer,-0.014821,0.222877,-0.0665,0.947
woody,0.025831,0.065761,0.3928,0.6948
uses_num_uses,0.030485,0.009817,3.1053,0.0021
annual,-0.116556,0.061837,-1.8849,0.0605
EFN:abs_med_lat,-0.001843,0.004876,-0.378,0.7058
EFN:hemisphere1,0.158696,0.240677,0.6594,0.5102
abs_med_lat:hemisphere1,-0.008977,0.017382,-0.5164,0.606
abs_med_lat:fixer,0.010112,0.008562,1.1811,0.2386
hemisphere1:fixer,-0.183286,0.364972,-0.5022,0.6159
EFN:abs_med_lat:hemisphere1,-0.010219,0.009195,-1.1114,0.2674
abs_med_lat:hemisphere1:fixer,0.009535,0.017916,0.5322,0.595
