"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 7.716276","0.200852","38.4177",0
"EFN1","-0.136094","0.121479","-1.1203",0.2636
"abs_med_lat","-0.033876","0.007400","-4.5775",0
"hemisphere1","-0.486491","0.234590","-2.0738",0.039
"fixer1","-0.175024","0.186990","-0.9360",0.3501
"woody"," 0.085642","0.058148"," 1.4728",0.142
"uses_num_uses"," 0.017119","0.008829"," 1.9389",0.0536
"annual","-0.069010","0.055092","-1.2526",0.2114
"EFN1:abs_med_lat"," 0.004939","0.003949"," 1.2507",0.2121
"EFN1:hemisphere1"," 0.127549","0.226916"," 0.5621",0.5745
"abs_med_lat:hemisphere1"," 0.012757","0.012276"," 1.0392",0.2996
"abs_med_lat:fixer1"," 0.015744","0.007589"," 2.0747",0.039
"hemisphere1:fixer1"," 0.499546","0.259908"," 1.9220",0.0557
"EFN1:abs_med_lat:hemisphere1","-0.006071","0.008360","-0.7262",0.4683
"abs_med_lat:hemisphere1:fixer1","-0.021255","0.012961","-1.6400",0.1022
