,Value,Std.Error,t.value,p.value
(Intercept),4.169929,0.75333,5.5353,0
EFN1,1.170998,0.468,2.50215,0.0124
abs_med_lat,0.085237,0.02193,3.88692,0.0001
hemisphere1,-0.198032,0.54333,-0.36448,0.7155
fixer1,1.949686,0.5031,3.87533,0.0001
woody,-0.562929,0.17475,-3.22143,0.0013
uses_num_uses,0.362217,0.03487,10.3887,0
annual,-0.793371,0.19479,-4.07292,0
EFN1:abs_med_lat,-0.02641,0.02083,-1.26803,0.2049
EFN1:hemisphere1,-1.151324,0.68408,-1.68302,0.0925
abs_med_lat:hemisphere1,-0.002089,0.03261,-0.06407,0.9489
abs_med_lat:fixer1,-0.055967,0.02257,-2.48013,0.0132
hemisphere1:fixer1,-0.133587,0.58676,-0.22767,0.8199
EFN1:abs_med_lat:hemisphere1,0.053207,0.02982,1.78437,0.0745
abs_med_lat:hemisphere1:fixer1,-0.050419,0.03382,-1.49064,0.1362
