"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 7.46330","1.74454"," 4.27809",0
"EFN1"," 1.20204","1.26138"," 0.95296",0.3415
"abs_med_lat","-0.06156","0.06209","-0.99147",0.3223
"hemisphere1"," 0.13643","2.18886"," 0.06233",0.9503
"fixer1"," 0.15410","1.68959"," 0.09121",0.9274
"woody","-1.00414","0.56021","-1.79245",0.0742
"uses_num_uses"," 0.36838","0.08698"," 4.23502",0
"annual","-0.57694","0.54279","-1.06292",0.2888
"EFN1:abs_med_lat","-0.02848","0.03910","-0.72834",0.467
"EFN1:hemisphere1","-0.79332","2.08400","-0.38067",0.7037
"abs_med_lat:hemisphere1"," 0.01848","0.10120"," 0.18265",0.8552
"abs_med_lat:fixer1"," 0.02690","0.06460"," 0.41635",0.6775
"hemisphere1:fixer1","-0.90830","2.31367","-0.39258",0.6949
"EFN1:abs_med_lat:hemisphere1"," 0.05001","0.07241"," 0.69066",0.4904
"abs_med_lat:hemisphere1:fixer1","-0.02593","0.10322","-0.25120",0.8019
