"","Value","Std.Error","t.value","p.value"
"(Intercept)","27.829640","0.87519"," 31.7983",0
"EFN1","-1.197733","0.42408"," -2.8243",0.0048
"abs_med_lat","-0.235771","0.02072","-11.3794",0
"hemisphere1","-1.021300","0.50313"," -2.0299",0.0425
"fixer1"," 2.273099","0.47903","  4.7452",0
"woody"," 0.050353","0.16286","  0.3092",0.7572
"uses_num_uses"," 0.273460","0.03173","  8.6187",0
"annual"," 2.313240","0.17656"," 13.1017",0
"EFN1:abs_med_lat"," 0.064740","0.01887","  3.4317",0.0006
"EFN1:hemisphere1"," 1.903707","0.61865","  3.0772",0.0021
"abs_med_lat:hemisphere1"," 0.067703","0.03034","  2.2314",0.0257
"abs_med_lat:fixer1","-0.071774","0.02124"," -3.3790",0.0007
"hemisphere1:fixer1","-0.830412","0.54140"," -1.5338",0.1252
"EFN1:abs_med_lat:hemisphere1","-0.102015","0.02697"," -3.7825",0.0002
"abs_med_lat:hemisphere1:fixer1","-0.006809","0.03145"," -0.2165",0.8286
