"","Value","Std.Error","t.value","p.value"
"(Intercept)","23.78116","1.28251"," 18.5427",0
"EFN1","-2.27639","0.59519"," -3.8246",0.0001
"abs_med_lat","-0.31042","0.02931","-10.5919",0
"hemisphere1","-0.78027","0.70935"," -1.1000",0.2714
"fixer1"," 0.51835","0.67797","  0.7646",0.4446
"woody"," 0.42773","0.22950","  1.8637",0.0625
"uses_num_uses","-0.09212","0.04456"," -2.0673",0.0388
"annual"," 3.07879","0.24776"," 12.4265",0
"EFN1:abs_med_lat"," 0.08762","0.02647","  3.3101",0.0009
"EFN1:hemisphere1"," 2.99514","0.86816","  3.4500",0.0006
"abs_med_lat:hemisphere1"," 0.06444","0.04281","  1.5051",0.1324
"abs_med_lat:fixer1","-0.02056","0.03002"," -0.6847",0.4936
"hemisphere1:fixer1","-0.67718","0.76271"," -0.8879",0.3747
"EFN1:abs_med_lat:hemisphere1","-0.15173","0.03784"," -4.0099",0.0001
"abs_med_lat:hemisphere1:fixer1"," 0.03893","0.04436","  0.8774",0.3803
