"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 6.779417","1.66847"," 4.0633",0.0001
"EFN"," 1.003229","1.05575"," 0.9503",0.3428
"abs_med_lat","-0.008327","0.05748","-0.1449",0.8849
"hemisphere1","-2.116466","2.45039","-0.8637",0.3885
"fixer"," 1.235441","1.55403"," 0.7950",0.4273
"woody","-0.222207","0.46145","-0.4815",0.6305
"uses_num_uses"," 0.177666","0.06902"," 2.5740",0.0106
"annual"," 0.254481","0.43555"," 0.5843",0.5595
"EFN:abs_med_lat"," 0.017352","0.03429"," 0.5061",0.6132
"EFN:hemisphere1","-1.013299","1.69351","-0.5983",0.5501
"abs_med_lat:hemisphere1"," 0.089183","0.12195"," 0.7313",0.4652
"abs_med_lat:fixer"," 0.025532","0.05987"," 0.4264",0.6701
"hemisphere1:fixer"," 2.996469","2.56073"," 1.1702",0.243
"EFN:abs_med_lat:hemisphere1","-0.009647","0.06465","-0.1492",0.8815
"abs_med_lat:hemisphere1:fixer","-0.200240","0.12569","-1.5931",0.1123
