"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 7.797411","1.47107"," 5.30051",0
"EFN1"," 0.674024","0.89648"," 0.75185",0.4528
"abs_med_lat","-0.069360","0.05443","-1.27437",0.2036
"hemisphere1","-0.952128","1.72749","-0.55116",0.582
"fixer1"," 0.135771","1.37164"," 0.09898",0.9212
"woody","-0.536130","0.42876","-1.25041",0.2122
"uses_num_uses"," 0.260812","0.06521"," 3.99956",0.0001
"annual"," 0.211662","0.40735"," 0.51961",0.6038
"EFN1:abs_med_lat"," 0.005478","0.02916"," 0.18784",0.8511
"EFN1:hemisphere1","-0.850270","1.67530","-0.50753",0.6122
"abs_med_lat:hemisphere1"," 0.097477","0.09034"," 1.07901",0.2815
"abs_med_lat:fixer1"," 0.093031","0.05581"," 1.66701",0.0967
"hemisphere1:fixer1"," 1.435024","1.91511"," 0.74932",0.4543
"EFN1:abs_med_lat:hemisphere1","-0.010568","0.06167","-0.17136",0.8641
"abs_med_lat:hemisphere1:fixer1","-0.184943","0.09541","-1.93837",0.0536
