"","X.1","X","species","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","quant95","quant005","precip_range","temp_range","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count","species.y","nitro_range","log_temp_range","log_precip_range","log_nitro_range"
"1",134,2597,"Trifolium_pauciflorum",173,891.2,417.2,650.248554913295,650,230,115,160.468208092486,151,19.7483337402344,14.1466667175293,16.8591522260897,16.875,41.011578,31.644759,34.0512269710983,33.1247,38.0466666,32.4184074,474,5.6016670227051,0,1,0,0,1.21e+12,36.23705117,"Trifolieae","Trifolium","Papilionoideae","Trifolieae",1,36.23705117,0,1,0,"Trifolium pauciflorum","Trifolium pauciflorum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4126,"Trifolium pauciflorum",115,1.72306423606833,6.16120732169508,4.74493212836325
"2",135,2565,"Trifolium_globosum",40,1067.25,434.95,641.65,583,258.55,119.8,194.95,203,19.4502090454102,11.8352085113526,15.8353125810623,16.0333337783813,41.97978,-35.832917,8.6270287,36.500015,41.045109,-33.75357385,632.3,7.61500053405763,1,1,1,8.02e+11,1.02e+12,38.22226175,"Trifolieae","Trifolium","Papilionoideae","Trifolieae",1,38.22226175,0,1,0,"Trifolium globosum","Trifolium globosum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4541,"Trifolium globosum",138.75,2.03012005647944,6.44936396506457,4.93267375262654
"3",136,2558,"Trifolium_dichotomum",187,1702.5,400.3,997.668449197861,986,309.7,125.6,193.229946524064,180,15.6679166793823,9.92041625976562,13.3275846899512,13.8999996185303,44.9431,33.34277,39.2267311096257,38.835556,44.0328218,35.70564863,1302.2,5.74750041961667,0,1,0,0,1.44e+13,55.10295578,"Trifolieae","Trifolium","Papilionoideae","Trifolieae",1,55.10295578,0,1,0,"Trifolium dichotomum","Trifolium dichotomum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4066,"Trifolium dichotomum",184.1,1.74876505066375,7.17181042080276,5.21547908823903
"4",137,2528,"Trifolium_albopurpureum",906,1124.5,302.5,614.733995584989,563.5,245,95,158.547461368653,151,17.614583492279,11.6968750953674,14.4983213932046,14.5375003814697,45.715,29.22917,35.919618439404,35.1968835,40.35863075,32.874412,822,5.9177083969116,0,1,0,0,1.62e+13,46.88768209,"Trifolieae","Trifolium","Papilionoideae","Trifolieae",1,46.88768209,0,0,0,"Trifolium albopurpureum","Trifolium albopurpureum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4030,"Trifolium albopurpureum",150,1.77794927883898,6.71174039505618,5.01063529409626
"5",138,2548,"Trifolium_ciliolatum",882,1158.95,319,667.621315192744,603,257,100,167.196145124717,161,17.5952078819275,11.9302084445953,14.7810563377005,14.7916669845581,45.715,32.5514,36.4710570761905,36.710704,40.6433903,32.8987088,839.95,5.66499943733216,0,1,0,0,8.34e+11,41.66077745,"Trifolieae","Trifolium","Papilionoideae","Trifolieae",1,41.66077745,0,1,0,"Trifolium ciliolatum","Trifolium ciliolatum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4035,"Trifolium ciliolatum",157,1.73430679515643,6.73334236625622,5.05624580534831
"6",139,2567,"Trifolium_gracilentum",595,838.5,224.7,469.057142857143,439,237.2,75.7,154.776470588235,153,18.0458335876465,12.4750003814697,15.2580322233569,15.1708335876465,41.214222,29.224781,35.2472623420168,34.912694,38.5724917,32.74166,613.8,5.5708332061768,0,1,0,0,1.68e+13,41.60963901,"Trifolieae","Trifolium","Papilionoideae","Trifolieae",1,41.60963901,0,1,0,"Trifolium gracilentum","Trifolium gracilentum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4037,"Trifolium gracilentum",161.5,1.71754463093455,6.41966914218564,5.08450514266271
"7",140,2539,"Trifolium_bifidum",412,1458.7,460.55,834.203883495146,764,286.35,106,182.398058252427,165,16.7139584541321,11.2360418796539,14.2246359193209,14.3999996185303,47.60639,34.0528,38.8342139373786,38.5224505,44.04791,35.3141128,998.15,5.47791657447815,0,1,0,0,8.34e+11,41.66077745,"Trifolieae","Trifolium","Papilionoideae","Trifolieae",1,41.66077745,0,0,0,"Trifolium bifidum","Trifolium bifidum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4833,"Trifolium bifidum",180.35,1.70072484153145,6.90590356561866,5.19489940734955
"8",141,2589,"Trifolium_oliganthum",201,1751,369,924.069651741294,830,533,103,222.835820895522,187,16.783332824707,8.64166641235352,13.0608831021323,13.658332824707,49.133425,34.3438,40.2939184243781,38.644731,48.810265,35.258503,1382,8.14166641235348,0,1,0,0,2.07e+12,48.24415302,"Trifolieae","Trifolium","Papilionoideae","Trifolieae",1,48.24415302,0,1,0,"Trifolium oliganthum","Trifolium oliganthum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4043,"Trifolium oliganthum",430,2.09699487802473,7.23128700432762,6.06378520868761
"9",142,2584,"Trifolium_microcephalum",1268,1597.45,299,743.25,621,354.3,94,193.103312302839,169.5,17.3693744659424,6.78895838260651,12.7550867663385,13.3979163169861,64.866667,23.5,38.3861638629338,37.98767,47.5671725,32.93042225,1298.45,10.5804160833359,0,1,0,0,4.54e+12,35.28688776,"Trifolieae","Trifolium","Papilionoideae","Trifolieae",1,35.28688776,0,1,0,"Trifolium microcephalum","Trifolium microcephalum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4072,"Trifolium microcephalum",260.3,2.35900475300429,7.168926524393,5.56183481200052
"10",143,2569,"Trifolium_haydenii",110,661.1,380.6,531.618181818182,553.5,410,173.9,267.636363636364,258,5.40770828723907,-1.49395830631256,1.10636364175007,0.483333319425583,47.1149,43.750607,44.9805741454545,44.9821365,45.906024825,44.1433656,280.5,6.90166659355163,0,1,0,0,1.07e+12,44.09166716,"Trifolieae","Trifolium","Papilionoideae","Trifolieae",1,44.09166716,0,0,0,"Trifolium haydenii","Trifolium haydenii","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,2,2,0,"Y","N",0,NA,0,4040,"Trifolium haydenii",236.1,1.9317629177356,5.63657372496275,5.46425544409147
