species,num_total,num_in_polygons,percent_in_polys
Acacia_colletioides,1806,1821,100.830564784053
Acacia_hakeoides,2667,2668,100.037495313086
Acacia_wilhelmiana,1161,1164,100.258397932817
Albizia_forbesii,92,93,101.086956521739
Albizia_subdimidiata,127,128,100.787401574803
Anthyllis_montana,5926,5959,100.55686803915
Argyrolobium_stipulaceum,71,74,104.225352112676
Argyrolobium_tuberosum,289,293,101.384083044983
Astragalus_beckwithii,537,539,100.372439478585
Astragalus_gracilis,669,670,100.149476831091
Astragalus_nothoxys,219,220,100.456621004566
Astragalus_palmeri,428,429,100.233644859813
Astragalus_purshii,3013,3018,100.165947560571
Astragalus_sempervirens,1983,1987,100.201714573878
Baikiaea_plurijuga,171,172,100.584795321637
Calliandra_foliolosa,269,271,100.743494423792
Centrosema_vexillatum,46,47,102.173913043478
Cryptosepalum_maraviense,142,143,100.704225352113
Dalbergia_miscolobium,490,492,100.408163265306
Dalea_aurea,933,935,100.21436227224
Dalea_candida,3596,3597,100.027808676307
Dalea_formosa,1759,1765,100.341102899375
Dalea_mollissima,1066,1069,100.281425891182
Decorsea_schlechteri,76,77,101.315789473684
Desmodium_grahamii,453,455,100.441501103753
Desmodium_nicaraguense,187,189,101.069518716578
Desmodium_retinens,121,123,101.652892561983
Dichilus_strictus,64,65,101.5625
Diptychandra_aurantiaca,266,267,100.375939849624
Eminia_antennulifera,64,66,103.125
Eriosema_englerianum,56,57,101.785714285714
Genista_falcata,732,736,100.546448087432
Genista_florida,2078,2094,100.769971126083
Genista_germanica,7741,7748,100.090427593334
Genista_sagittalis,15883,15935,100.327394069131
Gleditsia_amorphoides,175,176,100.571428571429
Glycyrrhiza_acanthocarpa,658,668,101.519756838906
Hippocrepis_areolata,128,129,100.78125
Hippocrepis_comosa,32446,32462,100.049312704185
Hymenaea_parvifolia,168,169,100.595238095238
Indigofera_comosa,90,91,101.111111111111
Indigofera_heterotricha,267,269,100.749063670412
Indigofera_rhytidocarpa,58,59,101.724137931034
Indigofera_vicioides,152,153,100.657894736842
Inga_tonduzii,72,73,101.388888888889
Lotononis_lotononoides,82,86,104.878048780488
Lotus_alpinus,4465,4491,100.582306830907
Lupinus_arbustus,1287,1305,101.398601398601
Lupinus_aridus,334,338,101.197604790419
Lupinus_leucophyllus,974,984,101.026694045175
Lupinus_sericeus,1997,2002,100.250375563345
Macrolobium_angustifolium,390,391,100.25641025641
Macrolobium_suaveolens,90,92,102.222222222222
Medicago_suffruticosa,2881,2910,101.006594932315
Melolobium_obcordatum,55,56,101.818181818182
Neorautanenia_ficifolia,55,56,101.818181818182
Onobrychis_conferta,1200,1224,102
Oxytropis_neglecta,536,587,109.514925373134
Parkia_nitida,305,307,100.655737704918
Pearsonia_cajanifolia,107,109,101.869158878505
Pediomelum_subacaule,171,173,101.169590643275
Phyllota_pleurandroides,1069,1071,100.187090739008
Prosopis_ferox,58,59,101.724137931034
Psorothamnus_fremontii,559,562,100.536672629696
Pultenaea_laxiflora,870,873,100.344827586207
Rhynchosia_hirsuta,48,49,102.083333333333
Schotia_capitata,137,138,100.729927007299
Senna_aphylla,253,254,100.395256916996
Swainsona_microphylla,515,527,102.330097087379
Swainsona_procumbens,1226,1229,100.244698205546
Sweetia_fruticosa,125,126,100.8
Trifolium_alpinum,8478,8528,100.589761736259
Trifolium_amabile,919,920,100.108813928183
Trifolium_baccarinii,166,167,100.602409638554
Trifolium_pseudostriatum,50,51,102
Trifolium_thalii,2781,2827,101.654081265732
Trifolium_usambarense,96,97,101.041666666667
Vatairea_erythrocarpa,74,75,101.351351351351
