species,n
Abrus_fruticulosus,570
Abrus_precatorius,4345
Acacia_acinacea,5465
Acacia_acradenia,634
Acacia_acuminata,1048
Acacia_adsurgens,814
Acacia_adunca,163
Acacia_alata,426
Acacia_alleniana,339
Acacia_alpina,233
Acacia_amoena,251
Acacia_ampliceps,262
Acacia_anceps,207
Acacia_ancistrocarpa,1003
Acacia_aneura,5582
Acacia_argyrodendron,72
Acacia_aspera,675
Acacia_aulacocarpa,914
Acacia_auriculiformis,4994
Acacia_baileyana,4646
Acacia_bidentata,238
Acacia_biflora,109
Acacia_binervata,1466
Acacia_binervia,894
Acacia_bivenosa,903
Acacia_blakei,641
Acacia_blakelyi,292
Acacia_brachybotrya,1875
Acacia_brachystachya,670
Acacia_brassii,99
Acacia_brownii,1775
Acacia_brumalis,94
Acacia_buxifolia,2358
Acacia_bynoeana,373
Acacia_calamifolia,1308
Acacia_cambagei,992
Acacia_cana,157
Acacia_cangaiensis,38
Acacia_cardiophylla,170
Acacia_catenulata,203
Acacia_celastrifolia,130
Acacia_chrysotricha,22
Acacia_cincinnata,147
Acacia_citrinoviridis,200
Acacia_cognata,730
Acacia_colei,743
Acacia_colletioides,1806
Acacia_complanata,873
Acacia_concurrens,972
Acacia_confusa,1175
Acacia_coriacea,257
Acacia_cowleana,621
Acacia_crassicarpa,420
Acacia_cultriformis,498
Acacia_cuthbertsonii,487
Acacia_cyclops,2150
Acacia_cyperophylla,279
Acacia_dangarensis,9
Acacia_dealbata,30766
Acacia_deanei,3357
Acacia_decora,3241
Acacia_decurrens,3169
Acacia_dictyophleba,639
Acacia_difficilis,1745
Acacia_dimidiata,1100
Acacia_doratoxylon,1801
Acacia_drummondii,394
Acacia_dunnii,205
Acacia_elata,1197
Acacia_elongata,1326
Acacia_eremaea,104
Acacia_ericifolia,187
Acacia_erinacea,780
Acacia_estrophiolata,923
Acacia_excelsa,909
Acacia_extensa,399
Acacia_falcata,2970
Acacia_falciformis,4025
Acacia_filicifolia,1355
Acacia_filifolia,39
Acacia_fimbriata,2130
Acacia_flexifolia,399
Acacia_floribunda,3309
Acacia_fulva,67
Acacia_genistifolia,4538
Acacia_georginae,528
Acacia_gittinsii,76
Acacia_gladiiformis,789
Acacia_glaucocarpa,311
Acacia_glaucoptera,374
Acacia_gonocarpa,702
Acacia_granitica,238
Acacia_hakeoides,2667
Acacia_harpophylla,1082
Acacia_harveyi,99
Acacia_hastulata,153
Acacia_havilandiorum,441
Acacia_hemsleyi,246
Acacia_heterophylla,161
Acacia_hilliana,608
Acacia_hippuroides,66
Acacia_holosericea,2068
Acacia_horridula,23
Acacia_huegelii,166
Acacia_implexa,8769
Acacia_irrorata,3363
Acacia_iteaphylla,863
Acacia_ixiophylla,472
Acacia_jonesii,93
Acacia_julifera,675
Acacia_juncifolia,506
Acacia_kempeana,2117
Acacia_koa,402
Acacia_lachnophylla,97
Acacia_latescens,811
Acacia_latifolia,180
Acacia_leiocalyx,2445
Acacia_leptocarpa,1144
Acacia_leucoclada,352
Acacia_ligulata,6248
Acacia_linarioides,121
Acacia_linearifolia,727
Acacia_lineata,706
Acacia_linifolia,2333
Acacia_loderi,349
Acacia_longifolia,15154
Acacia_longispicata,366
Acacia_longissima,924
Acacia_lunata,165
Acacia_lysiphloia,1252
Acacia_maconochieana,50
Acacia_mangium,790
Acacia_mearnsii,16408
Acacia_melanoxylon,31029
Acacia_melleodora,1444
Acacia_microbotrya,370
Acacia_mimula,504
Acacia_monticola,781
Acacia_mooreana,81
Acacia_mucronata,5256
Acacia_multisiliqua,643
Acacia_mutabilis,176
Acacia_myrtifolia,8304
Acacia_nanodealbata,217
Acacia_neriifolia,1114
Acacia_nervosa,247
Acacia_neurocarpa,225
Acacia_nigricans,60
Acacia_notabilis,1059
Acacia_olgana,109
Acacia_oncinocarpa,1079
Acacia_oshanesii,272
Acacia_oswaldii,4799
Acacia_oxycedrus,1982
Acacia_papyrocarpa,1089
Acacia_paradoxa,9973
Acacia_parvipinnula,1139
Acacia_patagiata,103
Acacia_pellita,221
Acacia_pendula,1415
Acacia_pentadenia,200
Acacia_platycarpa,1282
Acacia_plectocarpa,811
Acacia_podalyriifolia,1637
Acacia_polybotrya,449
Acacia_polystachya,242
Acacia_pravissima,1203
Acacia_prominens,530
Acacia_pubescens,284
Acacia_pulchella,1415
Acacia_pycnantha,12482
Acacia_pyrifolia,364
Acacia_redolens,438
Acacia_restiacea,219
Acacia_retinodes,1818
Acacia_rigens,2346
Acacia_rossei,101
Acacia_rostellifera,399
Acacia_rothii,145
Acacia_rubida,2085
Acacia_salicina,2867
Acacia_saligna,5820
Acacia_sclerosperma,439
Acacia_shirleyi,1047
Acacia_silvestris,410
Acacia_simsii,537
Acacia_sparsiflora,236
Acacia_spathulifolia,187
Acacia_spectabilis,919
