"","species","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","quant95","quant005","Phy","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count","precip_range","temp_range","nitro_range"
"1","Abrus_fruticulosus",407,2093.8,694.5,1217.51351351351,1074,289.1,82,164.041769041769,142,27.5029172897339,20.9087497711182,25.5880732993236,26.6291656494141,24.983333,-22.978889,3.57817145896806,6.954588,10.8998973,-14.9817662,"Abrus fruticulosus",0,1,0,0,1.51e+12,16.77009689,"Abreae","Abrus","Papilionoideae","Abreae","1",16.77009689,1,0,1,"Abrus fruticulosus","Abrus fruticulosus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,523,1399.3,6.59416751861572,207.1
"2","Abrus_precatorius",2848,2285.25,633.05,1278.55617977528,1222,1418,56,313.188202247191,152,27.7458336830139,20.4889578819274,24.9778967739156,25.9312496185303,33.89722,-36.128742,0.373270231706461,-1.7333335,28.23956,-25.67719945,"Abrus precatorius",1,1,4,1.48e+11,5.34e+13,9.00301812,"Abreae","Abrus","Papilionoideae","Abreae","1",9.00301812,1,0,7,"Abrus precatorius","Abrus precatorius","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,5,5,0,"Y","N","0",NA,0,528,1652.2,7.25687580108644,1362
"3","Acacia_auriculiformis",4242,1717,1040,1339.73668081094,1295,408,73,201.426921263555,138,27.529167175293,23.5416660308838,26.2480787252941,26.3125,32.653252,-27.47743,3.31040102781707,7.31868,23.82515195,-13.88981485,"Acacia auriculiformis",1,1,23,1.12e+13,4.09e+12,-5.85860106,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",5.85860106,1,0,4,"Acacia auriculiformis","Acacia auriculiformis","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,22,19,3,"Y","Y","1","Acacia auriculiformis",0,9635,677,3.9875011444092,335
"4","Acacia_baileyana",3648,1226,458,752.895559210526,689,330,110,221.549342105263,221,17.5777084350586,12.1002087116241,14.2674227886294,14.0166664123535,42.8988169,-45.857537,-30.5477150035088,-37.0232,34.00134315,-38.15786,"Acacia baileyana",1,1,13,1.07e+13,6.27e+12,-26.80596132,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",26.80596132,1,0,2,"Acacia baileyana","Acacia baileyana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"1","Acacia baileyana",0,9648,768,5.47749972343448,220
"5","Acacia_confusa",720,3284.65,1106.85,2263.42916666667,2202.5,423.25,142.85,242.698611111111,219,23.8006242752075,17.9577079772949,21.0897453480297,21.2124996185303,35.07,-0.79,23.8332912583333,24.12687,25.26383455,21.30854775,"Acacia confusa",1,1,13,3.58e+12,1.25e+12,21.89229771,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",21.89229771,1,0,3,"Acacia confusa","Acacia confusa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,3,1,0,"Y","N","1","Acacia confusa",0,10104,2177.8,5.84291629791253,280.4
"6","Acacia_cyclops",1181,762,277,494.665537679932,465,258,81,146.845893310754,140,18.5583324432373,15.591667175293,17.0409539874381,16.9833335876465,40.55,-37.03352,-26.5596298797629,-33.938866,33.36541,-35.0075,"Acacia cyclops",1,1,5,5.1e+12,3.51e+12,-26.80243548,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",26.80243548,1,0,4,"Acacia cyclops","Acacia cyclops","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,1,1,0,"Y","N","1","Acacia cyclops",0,10784,485,2.9666652679443,177
"7","Acacia_dealbata",26972,1483,566.55,941.394038261901,884,420.899999999994,137,248.102587868901,225,15.6333332061768,8.75,12.3307043711757,12.3583335876465,50.837437,-46.560007,-15.489348573454,-36.74275,44.82401255,-42.50014635,"Acacia dealbata",1,1,28,1.45e+13,4.61e+12,-35.13929898,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",35.13929898,1,0,6,"Acacia dealbata","Acacia dealbata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,7,4,3,"Y","Y","1","Acacia dealbata",0,9724,916.45,6.8833332061768,283.899999999994
"8","Acacia_decurrens",2441,1341,599,920.530110610406,869,359,130,230.875051208521,229,17.8374996185303,12.2333335876465,14.9480011667301,14.4416666030884,40.7656,-43.660972,-31.1569851990168,-34.224322,4.926712,-37.8807,"Acacia decurrens",1,1,19,1e+13,6.4e+12,-17.04729784,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",17.04729784,1,0,4,"Acacia decurrens","Acacia decurrens","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,8,5,3,"Y","Y","1","Acacia decurrens",0,9814,742,5.6041660308838,229
"9","Acacia_elata",981,1450,696,1108.71865443425,1127,320,189,241.577981651376,244,17.3708324432373,12.2749996185303,15.0169257398288,14.9291667938232,37.648081,-43.666611,-34.1826980938838,-33.717761,-31.213368,-37.9869,"Acacia elata",1,1,11,9.68e+12,3.56e+12,-29.35867544,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",29.35867544,1,0,1,"Acacia elata","Acacia elata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,10656,754,5.095832824707,131
"10","Acacia_iteaphylla",629,965.6,285.4,621.8759936407,627,279,73,177.373608903021,186,18.2208332061767,12.4058332443237,14.9644607671304,14.5291662216187,-27.9,-38.5112,-35.7213733704293,-36.8085,-31.860805,-38.02598,"Acacia iteaphylla",0,1,0,0,4.54e+12,-28.33581319,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",28.33581319,1,0,1,"Acacia iteaphylla","Acacia iteaphylla","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"1","Acacia iteaphylla",0,9628,680.2,5.81499996185301,206
