gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
919574842				CC_BY_4_0									PE				PRESERVED_SPECIMEN				6499927	dce41716-b6bf-11e1-8c2f-acd112e444a7		紫胶分队															PRESENT																							1964				1964														ASIA				CN	云南	景洪市		攸乐区									22.01071	100.799775																																																		Dalbergia fusca Pierre								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Dalbergia	Dalbergia			fusca			SPECIES				SYNONYM			1b412457-43cf-4a6f-b5c2-7acf01be5977	CN	2024-01-25T05:39:05.357Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2968725	8108643	6	7707728	220	1370	5386	2968358		8108643	Dalbergia cultrata	Dalbergia cultrata T.S.Ralph	Dalbergia fusca		EML	2024-01-25T05:39:05.357Z	2023-01-07T23:38:05.850Z	false			false	ASIA	ASIA	CHN	China	CHN.30_1	Yunnan	CHN.30.14_1	Xishuangbanna Dai	CHN.30.14.1_1	Jinghong	NT
919574840				CC_BY_4_0									PE				PRESERVED_SPECIMEN				6499923	dce418d7-b6bf-11e1-8c2f-acd112e444a7		紫胶分队															PRESENT																							1964				1964														ASIA				CN	云南	墨江哈尼族自治县		龙潭区华山									23.431897	101.692457																																																		Dalbergia fusca Pierre								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Dalbergia	Dalbergia			fusca			SPECIES				SYNONYM			1b412457-43cf-4a6f-b5c2-7acf01be5977	CN	2024-01-25T05:39:05.174Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2968725	8108643	6	7707728	220	1370	5386	2968358		8108643	Dalbergia cultrata	Dalbergia cultrata T.S.Ralph	Dalbergia fusca		EML	2024-01-25T05:39:05.174Z	2023-01-07T23:38:05.850Z	false			false	ASIA	ASIA	CHN	China	CHN.30_1	Yunnan	CHN.30.11_1	Pu'er	CHN.30.11.6_1	Mojiang Hani	NT
919574833				CC_BY_4_0									PE				PRESERVED_SPECIMEN				6499914	dce41cc1-b6bf-11e1-8c2f-acd112e444a7		紫胶分队															PRESENT																							1964				1964														ASIA				CN	云南	墨江哈尼族自治县		龙潭区华山									23.431897	101.692457																																																		Dalbergia fusca Pierre								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Dalbergia	Dalbergia			fusca			SPECIES				SYNONYM			1b412457-43cf-4a6f-b5c2-7acf01be5977	CN	2024-01-25T05:39:04.389Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2968725	8108643	6	7707728	220	1370	5386	2968358		8108643	Dalbergia cultrata	Dalbergia cultrata T.S.Ralph	Dalbergia fusca		EML	2024-01-25T05:39:04.389Z	2023-01-07T23:38:05.850Z	false			false	ASIA	ASIA	CHN	China	CHN.30_1	Yunnan	CHN.30.11_1	Pu'er	CHN.30.11.6_1	Mojiang Hani	NT
919574830				CC_BY_4_0									PE				PRESERVED_SPECIMEN				6499924	dce41868-b6bf-11e1-8c2f-acd112e444a7		紫胶队															PRESENT																							1964				1964														ASIA				CN	云南	墨江哈尼族自治县		龙潭区华山									23.431897	101.692457																																																		Dalbergia fusca Pierre								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Dalbergia	Dalbergia			fusca			SPECIES				SYNONYM			1b412457-43cf-4a6f-b5c2-7acf01be5977	CN	2024-01-25T05:39:04.090Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2968725	8108643	6	7707728	220	1370	5386	2968358		8108643	Dalbergia cultrata	Dalbergia cultrata T.S.Ralph	Dalbergia fusca		EML	2024-01-25T05:39:04.090Z	2023-01-07T23:38:05.850Z	false			false	ASIA	ASIA	CHN	China	CHN.30_1	Yunnan	CHN.30.11_1	Pu'er	CHN.30.11.6_1	Mojiang Hani	NT
919574817				CC_BY_4_0									PE				PRESERVED_SPECIMEN				6499928	dce41698-b6bf-11e1-8c2f-acd112e444a7		紫胶分队															PRESENT																							1964				1964														ASIA				CN	云南	澜沧拉祜族自治县		雅口区									22.555882	99.932102																																																		Dalbergia fusca Pierre								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Dalbergia	Dalbergia			fusca			SPECIES				SYNONYM			1b412457-43cf-4a6f-b5c2-7acf01be5977	CN	2024-01-25T05:39:05.323Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2968725	8108643	6	7707728	220	1370	5386	2968358		8108643	Dalbergia cultrata	Dalbergia cultrata T.S.Ralph	Dalbergia fusca		EML	2024-01-25T05:39:05.323Z	2023-01-07T23:38:05.850Z	false			false	ASIA	ASIA	CHN	China	CHN.30_1	Yunnan	CHN.30.11_1	Pu'er	CHN.30.11.4_1	Lancang Lahu	NT
919574811				CC_BY_4_0									PE				PRESERVED_SPECIMEN				6499915	dce41c55-b6bf-11e1-8c2f-acd112e444a7		紫胶队															PRESENT																							1964				1964														ASIA				CN	云南	景洪市		攸乐区									22.01071	100.799775																																																		Dalbergia fusca Pierre								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Dalbergia	Dalbergia			fusca			SPECIES				SYNONYM			1b412457-43cf-4a6f-b5c2-7acf01be5977	CN	2024-01-25T05:39:05.125Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2968725	8108643	6	7707728	220	1370	5386	2968358		8108643	Dalbergia cultrata	Dalbergia cultrata T.S.Ralph	Dalbergia fusca		EML	2024-01-25T05:39:05.125Z	2023-01-07T23:38:05.850Z	false			false	ASIA	ASIA	CHN	China	CHN.30_1	Yunnan	CHN.30.14_1	Xishuangbanna Dai	CHN.30.14.1_1	Jinghong	NT
919574810				CC_BY_4_0									PE				PRESERVED_SPECIMEN				6499926	dce41789-b6bf-11e1-8c2f-acd112e444a7		紫胶分队															PRESENT																							1964				1964														ASIA				CN	云南	墨江哈尼族自治县		龙潭区华山									23.431897	101.692457																																																		Dalbergia fusca Pierre								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Dalbergia	Dalbergia			fusca			SPECIES				SYNONYM			1b412457-43cf-4a6f-b5c2-7acf01be5977	CN	2024-01-25T05:39:04.410Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2968725	8108643	6	7707728	220	1370	5386	2968358		8108643	Dalbergia cultrata	Dalbergia cultrata T.S.Ralph	Dalbergia fusca		EML	2024-01-25T05:39:04.410Z	2023-01-07T23:38:05.850Z	false			false	ASIA	ASIA	CHN	China	CHN.30_1	Yunnan	CHN.30.11_1	Pu'er	CHN.30.11.6_1	Mojiang Hani	NT
919574807				CC_BY_4_0									PE				PRESERVED_SPECIMEN				6499917	dce41b78-b6bf-11e1-8c2f-acd112e444a7		紫胶分队															PRESENT																							1964				1964														ASIA				CN	云南	墨江哈尼族自治县		龙潭区华山									23.431897	101.692457																																																		Dalbergia fusca Pierre								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Dalbergia	Dalbergia			fusca			SPECIES				SYNONYM			1b412457-43cf-4a6f-b5c2-7acf01be5977	CN	2024-01-25T05:39:05.110Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2968725	8108643	6	7707728	220	1370	5386	2968358		8108643	Dalbergia cultrata	Dalbergia cultrata T.S.Ralph	Dalbergia fusca		EML	2024-01-25T05:39:05.110Z	2023-01-07T23:38:05.850Z	false			false	ASIA	ASIA	CHN	China	CHN.30_1	Yunnan	CHN.30.11_1	Pu'er	CHN.30.11.6_1	Mojiang Hani	NT
919574803				CC_BY_4_0									PE				PRESERVED_SPECIMEN				6499916	dce41be6-b6bf-11e1-8c2f-acd112e444a7		紫胶分队															PRESENT																							1964				1964														ASIA				CN	云南	墨江哈尼族自治县		龙潭区华山									23.431897	101.692457																																																		Dalbergia fusca Pierre								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Dalbergia	Dalbergia			fusca			SPECIES				SYNONYM			1b412457-43cf-4a6f-b5c2-7acf01be5977	CN	2024-01-25T05:39:04.048Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2968725	8108643	6	7707728	220	1370	5386	2968358		8108643	Dalbergia cultrata	Dalbergia cultrata T.S.Ralph	Dalbergia fusca		EML	2024-01-25T05:39:04.048Z	2023-01-07T23:38:05.850Z	false			false	ASIA	ASIA	CHN	China	CHN.30_1	Yunnan	CHN.30.11_1	Pu'er	CHN.30.11.6_1	Mojiang Hani	NT
919574799				CC_BY_4_0									PE				PRESERVED_SPECIMEN				6499919	dce41a99-b6bf-11e1-8c2f-acd112e444a7		紫胶分队															PRESENT																							1964				1964														ASIA				CN	云南	墨江哈尼族自治县		龙潭区华山									23.431897	101.692457																																																		Dalbergia fusca Pierre								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Dalbergia	Dalbergia			fusca			SPECIES				SYNONYM			1b412457-43cf-4a6f-b5c2-7acf01be5977	CN	2024-01-25T05:39:05.110Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2968725	8108643	6	7707728	220	1370	5386	2968358		8108643	Dalbergia cultrata	Dalbergia cultrata T.S.Ralph	Dalbergia fusca		EML	2024-01-25T05:39:05.110Z	2023-01-07T23:38:05.850Z	false			false	ASIA	ASIA	CHN	China	CHN.30_1	Yunnan	CHN.30.11_1	Pu'er	CHN.30.11.6_1	Mojiang Hani	NT
