gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
931016129										890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PreservedSpecimen				UdeA:HUA:91337	91337	2064	Roldán F. | Maza V. | Gutiérrez J.		1					Flor								present	Montado	En colección																						1993-11-11				1993	11	11							Bejuco					América del Sur				Colombia	CO	Antioquia	Remedios		Carretera Remedios - Puerto Berrío	Carretera remedios-Puerto Berrío. Km13-19	600	600										6.9333333	-74.6	WGS84	1039			"""""""6°56'0""""""""N"""", """"74°36'0""""""""W"""""""	"""""""6°56'0""""""""N"""""""	"""""""74°36'0""""""""W"""""""	Grados, minutos, segundos					Vanessa Fernández Rodríguez	2015-03-03	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 118. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.			Roldán F.		1996												Barbieria pinnata							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Magnoliophyta	Equisetopsida	Fabales		Fabaceae				Barbieria				pinnata			Especie		(Pers.) Baill.			Aceptado		
931014532										890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PreservedSpecimen				UdeA:HUA:84875	84875	1643	Giraldo D.		1					Flor								present	Montado	En colección																						1993-01-06				1993	01	06							Liana					América del Sur				Colombia	CO	Antioquia	Cocorná		Vereda La Piñuela. carretera a San Francisco	Vereda La Piñuela. carretera a San Francisco	800	900										6.0333333	-75.1333333	WGS84	4607			6°2'N, 75°8'W	6°2'N	75°8'W	Grados, minutos, segundos					Yeny María Martínez Figueroa	2015-02-11	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 168. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.			Giraldo D.														Barbieria pinnata							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Magnoliophyta	Equisetopsida	Fabales		Fabaceae				Barbieria				pinnata			Especie		(Pers.) Baill.			Aceptado		
931013052										890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PreservedSpecimen				UdeA:HUA:78209	78209	563	Giraldo D.		1					Flor								present	Montado	En colección																						1991-09-26				1991	09	26							Bejuco muy ramificado					América del Sur				Colombia	CO	Antioquia	Cocorná		Vereda La Piñuela. carretera a San Francisco	Vereda La Piñuela. carretera a San Francisco	900	1200										6.0333333	-75.1333333	WGS84	4607			6°2'N, 75°8'W	6°2'N	75°8'W	Grados, minutos, segundos					Yeny María Martínez Figueroa	2015-02-11	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 168. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.																	Barbieria pinnata							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Magnoliophyta	Equisetopsida	Fabales		Fabaceae				Barbieria				pinnata			Especie		(Pers.) Baill.			Aceptado		
931012360										890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PreservedSpecimen				UdeA:HUA:74949	74949	1856	Ramírez J. | Cárdenas D.		1					Flor								present	Montado	En colección																						1987-10-26				1987	10	26							Bejuco					América del Sur				Colombia	CO	Antioquia	San Luis		Quebrada La Cristalina. sector SE	Quebrada La Cristalina. sector CE	600	770										6.0382244	-75.0032473	WGS84	1134			"""""""6°0'0""""""""N"""", """"74°45'0""""""""W"""""""	"""""""6°0'0""""""""N"""""""	"""""""74°45'0""""""""W"""""""	Grados, minutos, segundos					David Taborda López	2015-04-08	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 168. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.																	Barbieria pinnata							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Magnoliophyta	Equisetopsida	Fabales		Fabaceae				Barbieria				pinnata			Especie		(Pers.) Baill.			Aceptado		
931006906										890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PreservedSpecimen				UdeA:HUA:49865	49865	1514	Brant A. | Roldán F.		1					Flor								present	Montado	En colección																						1987-10-26				1987	10	26							Twining/sandent vine to ca 5 m; inflorescence with calyx reddish tan					América del Sur				Colombia	CO	Antioquia	San Rafael		3.1 km E of San Rafael along Guatapé - San Rafael road. ca 0.5 km N of road	3.1 km E of San Rafael along Guatapé-San Rafael road. margin of secondary forest ca 0.5 km N of road	1110	1110										6.3	-75.0333333	WGS84	785			"""""""6°18'0""""""""N"""", """"75°2'0""""""""W"""""""	"""""""6°18'0""""""""N"""""""	"""""""75°2'0""""""""W"""""""	Grados, minutos, segundos					Vanessa Fernández Rodríguez	2015-01-22	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 148 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.																	Barbieria pinnata							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Magnoliophyta	Equisetopsida	Fabales		Fabaceae				Barbieria				pinnata			Especie		(Pers.) Baill.			Aceptado		
930991875										890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PreservedSpecimen				UdeA:HUA:150794	150794	913	David H. | Tuberquia D. | Morales H. | Gaviria J.		1					Estéril								present	Montado	En colección																						2004-04-01/2004-04-30				2004									Escandente herbáceo de 0.5 m					América del Sur				Colombia	CO	Antioquia	Yolombó		Finca San Ignacio	Finca San Ignacio	985	985										6.7788889	-75.0808333	WGS84	2195			"""""""6°46'44""""""""N"""", """"75°4'51""""""""W"""""""	"""""""6°46'44""""""""N"""""""	"""""""75°4'51""""""""W"""""""	Grados, minutos, segundos					Juliana Torres Toro	2015-04-08	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 117. 132. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.			Idárraga A.		2004												Barbieria pinnata							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Magnoliophyta	Equisetopsida	Fabales		Fabaceae				Barbieria				pinnata			Especie		(Pers.) Baill.			Aceptado		
930991412										890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PreservedSpecimen				UdeA:HUA:148933	148933	1078	David H. | Felipe Alfonso Cardona Naranjo | Rivas A. | Correa E.		1					Estéril								present	Montado	En colección																						2005-07-01/2005-07-31				2005									Escandente leñoso de 10 m de longitud					América del Sur				Colombia	CO	Caldas	Samaná		Margen derecha del río Moro. sector La Mula	Margen derecha del río Moro. sector La Mula	550	650										5.5633333	-74.9041667	WGS84	730			"""""""5°33'48""""""""N"""", """"74°54'15""""""""W"""""""	"""""""5°33'48""""""""N"""""""	"""""""74°54'15""""""""W"""""""	Grados, minutos, segundos					Yeison Montoya Présiga	2015-08-26	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 168. 188 1:100.000. Bogotá D.C. ASTER Digital Elevation Model V002 (GDEM) Aster GDEM is a product of METI and NASA.																					Barbieria pinnata (Pers.) Baill.			David H.		2005-10-01/2005-10-31												Barbieria pinnata							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Magnoliophyta	Equisetopsida	Fabales		Fabaceae				Barbieria				pinnata			Especie		(Pers.) Baill.			Aceptado		
930988705										890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PreservedSpecimen				UdeA:HUA:136083	136083	6729	Cárdenas D. | López R. | Oidor M. | Giraldo D.		1					Flor								present	Montado	En colección																						1995-10-25				1995	10	25							Bejuco de estambres blancos					América del Sur				Colombia	CO	Guaviare	San José del Guaviare		Inspección El Capricho	Inspección El Capricho	200	200										2.3611111	-72.8359167	WGS84	1769			"""""""2°19'6""""""""N"""", """"72°45'29""""""""W"""""""	"""""""2°19'6""""""""N"""""""	"""""""72°45'29""""""""W"""""""	Grados, minutos, segundos					David Taborda López	2015-10-02	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 372. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.			Giraldo D.		1996-01-06												Barbieria pinnata							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Magnoliophyta	Equisetopsida	Fabales		Fabaceae				Barbieria				pinnata			Especie		(Pers.) Baill.			Aceptado		
930988132										890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PreservedSpecimen				UdeA:HUA:133379	133379	2368	Duque A. | Correa M. | Giraldo F. | Hoyos W.		1					Estéril								present	Montado	En colección																						2001-06-15				2001	06	15							Escandente leñoso de 0.7 m de altura					América del Sur				Colombia	CO	Caldas	Victoria		Vereda La Guayana. finca La Maporita	Vereda La Guayana. finca La Maporita	400	400										5.5222778	-74.9033056	WGS84	973			"""""""5°31'20""""""""N"""", """"74°54'12""""""""W"""""""	"""""""5°31'20""""""""N"""""""	"""""""74°54'12""""""""W"""""""	Grados, minutos, segundos					Yeison Montoya Présiga	2015-08-20	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 168. 188 1:100.000. Bogotá D.C. ASTER Digital Elevation Model V002 (GDEM) Aster GDEM is a product of METI and NASA.	Se cambio la localidad debido a que no corresponde con la descripción del sitio. ni las coordenadas.																				Barbieria pinnata (Pers.) Baill.			Correa M | Duque A.		2001-06-15												Barbieria pinnata							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Magnoliophyta	Equisetopsida	Fabales		Fabaceae				Barbieria				pinnata			Especie		(Pers.) Baill.			Aceptado		
930987392										890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PreservedSpecimen				UdeA:HUA:130248	130248	2249	Zarucchi J.		1					Flor								present	Montado	En colección																						1976-11-20				1976	11	20							Tree					América del Sur				Colombia	CO	Vaupés	Mitú		Urania	Mitú and vicinity. Urania												1.2812276	-70.1794891	WGS84	180											Yeison Montoya Présiga	2015-09-05	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 423. 424. 424 B. 442. 443. 443 B. 460. 461. 462. 463. 478. 479. 494. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.			Zarucchi J.		1977												Barbieria pinnata							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Magnoliophyta	Equisetopsida	Fabales		Fabaceae				Barbieria				pinnata			Especie		(Pers.) Baill.			Aceptado		
